EmployeeID,Experience_Years,Hours_Worked_Per_Week,Productivity_Score,Performance_Score,Skill_Level,Defect_Rate,Attendance_Rate,Salary
1,9,55,73.75830746,62.85761756,1,5.56236394,83.01090799,33484
2,8,41,89.32000429,85.96940778,1,4.114109318,76.06819545,33803
3,1,56,86.3464542,51.40607531,4,9.47732804,76.41801348,20230
4,27,51,97.26219657,68.76606729,1,1.263701419,70.17411307,58089
5,6,50,92.83924069,81.33766743,2,9.736921349,79.02873147,30755
6,9,39,82.66421036,57.30482828,3,2.306386402,92.46752921,37381
7,7,56,86.28121993,91.15017872,3,7.728739364,93.82488127,35450
8,4,44,95.93545866,61.75156494,2,3.389699262,76.07402626,30450
9,13,59,75.98075138,82.61405564,3,1.430813954,98.77131991,58927
10,17,38,73.07178823,70.25985713,1,8.578891852,85.0720838,35272
11,28,31,60.43244335,79.80217977,3,3.088608992,97.50936247,80548
12,2,34,93.06204297,55.37252763,2,6.588554042,91.20295846,20167
13,28,35,92.03922802,50.84564,3,5.664436851,91.67300269,70352
14,5,36,64.17818072,95.47822137,1,4.717563094,72.55130864,23669
15,12,50,83.07429525,63.48150044,1,4.958194726,76.59973381,35528
16,27,54,78.55926793,90.98385014,2,7.322379141,70.264445,52900
17,21,30,64.74836382,99.96751502,2,0.8777291412,91.48382921,63105
18,8,52,99.22272908,60.5715629,2,6.68180662,80.33314865,31360
19,6,55,68.5878355,63.25853706,4,8.958121014,93.59957548,35368
20,8,36,62.6893672,83.14298938,4,0.5778819702,80.1680866,45298
21,18,49,83.79389518,98.27243173,1,1.406533392,94.58001257,46898
22,3,54,89.55466709,95.79071741,4,7.166319367,73.92094761,28075
23,22,59,61.29773784,75.143776,4,4.372816482,75.2011947,58728
24,12,41,86.34870555,89.75551413,3,4.035486208,80.22629619,50621
25,29,45,81.29167504,56.78729265,4,1.369666345,82.25462167,111629
26,26,45,64.13060036,98.87190921,3,5.067700407,80.46108433,52433
27,3,40,66.90095508,98.2176617,2,1.265453112,92.90941098,32389
28,22,50,82.71897189,58.18644789,3,4.766204563,72.90854178,64251
29,6,33,71.85430454,64.97115624,3,7.63615299,80.53651059,30317
30,2,42,97.53262915,55.00774988,2,2.582643579,95.11719999,23851
31,23,36,92.74960918,63.58587994,2,4.807861682,72.00391232,55050
32,12,33,99.34268826,90.79778947,1,9.920159694,98.27030523,32000
33,2,44,70.38683356,68.91578036,1,6.866504234,99.58950527,18590
34,6,48,98.78894531,54.41984836,1,8.413567713,72.65704521,29949
35,17,38,77.24935479,67.11127624,1,4.148476066,78.73817567,42961
36,3,40,73.90075181,99.06916671,3,7.678609231,81.17201998,26084
37,2,37,62.01398108,81.48417976,3,0.4050917294,93.29174106,28010
38,23,30,62.11061031,70.80804732,1,1.229111825,87.87780436,61903
39,20,52,87.68045024,58.32692567,4,2.030705929,89.33097101,56394
40,8,54,78.31715978,99.30883986,1,4.019519246,92.72529468,30740
41,22,53,69.06086504,91.04245046,4,8.457448783,73.53936998,62434
42,12,37,84.55881225,64.07386512,2,3.462660508,94.99628371,46555
43,26,42,70.11432473,53.50343479,3,6.546211935,91.16859413,60746
44,4,51,83.10527017,52.83127787,3,7.093142948,87.32025176,25465
45,5,56,74.36834988,56.01890748,4,5.861823541,96.69206004,29315
46,13,33,92.94208906,79.03842918,1,3.572419682,91.00919062,42344
47,29,37,92.82784643,96.43817106,3,5.770533417,76.05099888,61397
48,15,32,79.09401592,74.8371714,4,3.422655928,82.89236143,60185
49,25,58,74.03276437,92.14727412,2,0.8387373855,84.82128601,69154
50,23,38,74.50239186,72.29433099,2,9.928039782,71.6565288,45659
51,16,58,92.22858103,85.42917729,3,1.271824536,98.6391254,58902
52,10,31,73.12717931,86.59363686,1,0.7234838384,73.85731782,38348
53,25,31,68.36237495,58.6981853,4,8.785307492,90.92383802,61361
54,23,57,63.38753368,68.06080295,3,3.018346609,85.18693108,72574
55,16,42,78.66772484,81.86510783,2,6.502969741,70.7689675,37659
56,12,44,79.28528396,53.53483041,1,3.290057297,97.74242428,38215
57,17,57,93.63634842,68.07700939,4,3.914542708,95.55510426,55363
58,16,52,68.84954786,76.73997331,3,2.62112972,85.72773784,52911
59,12,41,75.23965095,99.81122465,4,3.430440058,76.86827008,60442
60,8,55,92.33622956,73.72667813,1,4.107004006,73.64868672,30510
61,20,33,92.94494443,90.80283786,1,7.204160691,80.90177438,39686
62,3,55,75.38444304,71.60336425,2,5.115361942,77.66284843,25972
63,16,37,78.36496093,89.81953613,1,9.435652172,85.20073603,33721
64,13,38,72.13143563,79.77074008,3,0.4188039384,98.99227888,52032
65,23,52,97.30219514,94.32977208,4,5.030683226,87.2486048,60601
66,28,34,64.74575063,70.54712762,1,5.842247888,96.69793168,67939
67,19,53,97.34997692,80.21522099,1,9.201969861,89.52636512,33647
68,8,49,87.35465807,81.50093403,3,0.4915852362,84.2573958,42662
69,22,47,81.26288611,70.86914709,4,5.734995849,95.63822688,55799
70,5,40,61.30636243,57.21560218,4,8.536299285,84.14104331,29947
71,20,44,79.02384767,54.67797035,2,2.419277281,96.05884512,51584
72,8,57,76.3099242,50.83357753,2,8.762923485,78.74730309,28349
73,24,51,66.44875248,93.67671321,4,0.1904340927,73.86439221,85717
74,12,38,86.25638414,61.82374561,3,7.324546291,95.65943393,39465
75,1,46,98.84603629,60.57533746,3,9.331132212,87.62245491,21955
76,25,56,82.48755244,86.80177002,2,6.571976616,96.67277195,45239
77,21,55,88.59013106,66.00080565,1,4.39029244,98.13481621,48365
78,20,41,62.7380181,75.30223462,3,0.4488101647,71.60885171,56531
79,6,36,76.70667983,58.12555326,1,9.201138133,85.02907906,25583
80,22,39,64.65433941,97.98728607,3,4.702962227,81.24893647,61499
